home_team,away_team,home_goals,away_goals,home_xG,away_xG
Chelsea,Aston Villa,3,0,1.6,1.2
Liverpool,Manchester City,2,0,3.4,0.8
Ipswich Town,Crystal Palace,0,1,0.5,1.6
Leicester City,West Ham,3,1,1.7,3.0
Newcastle Utd,Liverpool,3,3,2.1,1.9
Everton,Wolves,4,0,1.0,0.8
Manchester City,Nott'ham Forest,3,0,2.4,1.0
Southampton,Chelsea,1,5,1.6,5.2
Arsenal,Manchester Utd,2,0,2.1,0.2
Aston Villa,Brentford,3,1,2.4,0.9
Fulham,Brighton,3,1,1.1,1.4
Bournemouth,Tottenham,1,0,3.5,0.9
Aston Villa,Southampton,1,0,2.3,0.3
Crystal Palace,Manchester City,2,2,1.3,1.4
Brentford,Newcastle Utd,4,2,1.2,1.5
Manchester Utd,Nott'ham Forest,2,3,1.6,0.8
Leicester City,Brighton,2,2,1.3,1.5
Ipswich Town,Bournemouth,1,2,1.3,3.2
Fulham,Arsenal,1,1,0.2,1.8
Tottenham,Chelsea,3,4,2.8,2.8
West Ham,Wolves,2,1,1.0,1.4
Liverpool,Fulham,2,2,2.1,1.2
Wolves,Ipswich Town,1,2,1.3,1.1
Newcastle Utd,Leicester City,4,0,3.8,0.2
Arsenal,Everton,0,0,1.2,0.1
Nott'ham Forest,Aston Villa,2,1,1.7,0.4
Brighton,Crystal Palace,1,3,1.0,2.2
Manchester City,Manchester Utd,1,2,0.9,2.1
Southampton,Tottenham,0,5,0.8,2.3
Chelsea,Brentford,2,1,2.2,1.6
Bournemouth,West Ham,1,1,1.9,2.1
Aston Villa,Manchester City,2,1,1.6,1.0
Ipswich Town,Newcastle Utd,0,4,0.7,2.3
Brentford,Nott'ham Forest,0,2,0.7,0.9
West Ham,Brighton,1,1,1.2,0.9
Crystal Palace,Arsenal,1,5,1.6,2.5
Manchester Utd,Bournemouth,0,3,2.2,1.6
Leicester City,Wolves,0,3,0.8,1.1
Everton,Chelsea,0,0,1.0,1.2
Fulham,Southampton,0,0,0.9,0.3
Tottenham,Liverpool,3,6,1.3,5.6
Manchester City,Everton,1,1,2.1,0.7
Southampton,West Ham,0,1,1.4,1.7
Newcastle Utd,Aston Villa,3,0,2.7,0.3
Nott'ham Forest,Tottenham,1,0,1.1,0.9
Bournemouth,Crystal Palace,0,0,1.4,0.4
Chelsea,Fulham,1,2,1.1,1.8
Wolves,Manchester Utd,2,0,0.9,0.4
Liverpool,Leicester City,3,1,2.0,0.3
Brighton,Brentford,0,0,1.3,1.1
Arsenal,Ipswich Town,1,0,1.8,0.2
Leicester City,Manchester City,0,2,1.3,1.3
Everton,Nott'ham Forest,0,2,0.9,1.5
Tottenham,Wolves,2,2,2.2,0.7
Fulham,Bournemouth,2,2,1.1,2.0
Crystal Palace,Southampton,2,1,2.0,0.9
West Ham,Liverpool,0,5,0.4,3.1
Aston Villa,Brighton,2,2,1.8,1.1
Ipswich Town,Chelsea,2,0,1.6,2.0
Manchester Utd,Newcastle Utd,0,2,0.8,1.9
Brentford,Arsenal,1,3,0.3,1.9
