home_team,away_team,home_goals,away_goals,home_xG,away_xG,home_xGA,away_xGA
Wolves,Crystal Palace,2,2,1.5,2.4,2.4,1.5
Tottenham,Aston Villa,4,1,2.4,1.8,1.8,2.4
Manchester Utd,Chelsea,1,1,2.0,1.1,1.1,2.0
Fulham,Brentford,2,1,1.3,0.6,0.6,1.3
West Ham,Everton,0,0,0.8,1.1,1.1,0.8
Crystal Palace,Fulham,0,2,1.5,1.8,1.8,1.5
Wolves,Southampton,2,0,1.3,0.6,0.6,1.3
Brentford,Bournemouth,3,2,1.5,2.6,2.6,1.5
Brighton,Manchester City,2,1,2.3,2.1,2.1,2.3
Liverpool,Aston Villa,2,0,2.0,1.2,1.2,2.0
Tottenham,Ipswich Town,1,2,1.5,1.6,1.6,1.5
Nott'ham Forest,Newcastle Utd,1,3,0.6,1.6,1.6,0.6
Manchester Utd,Leicester City,3,0,0.8,0.6,0.6,0.8
Chelsea,Arsenal,1,1,1.5,1.5,1.5,1.5
Leicester City,Chelsea,1,2,1.1,2.7,2.7,1.1
Aston Villa,Crystal Palace,2,2,3.0,1.3,1.3,3.0
Fulham,Wolves,1,4,1.0,1.3,1.3,1.0
Bournemouth,Brighton,1,2,1.6,0.9,0.9,1.6
Arsenal,Nott'ham Forest,3,0,1.2,0.3,0.3,1.2
Everton,Brentford,0,0,1.2,1.1,1.1,1.2
Manchester City,Tottenham,0,4,2.1,2.5,2.5,2.1
Southampton,Liverpool,2,3,1.3,3.1,3.1,1.3
Ipswich Town,Manchester Utd,1,1,1.6,0.8,0.8,1.6
Newcastle Utd,West Ham,0,2,1.6,0.9,0.9,1.6
Brighton,Southampton,1,1,1.7,1.0,1.0,1.7
Wolves,Bournemouth,2,4,0.5,3.3,3.3,0.5
Nott'ham Forest,Ipswich Town,1,0,1.6,0.6,0.6,1.6
Brentford,Leicester City,4,1,2.4,1.1,1.1,2.4
Crystal Palace,Newcastle Utd,1,1,1.7,0.0,0.0,1.7
West Ham,Arsenal,2,5,1.5,3.5,3.5,1.5
Manchester Utd,Everton,4,0,1.1,0.6,0.6,1.1
Tottenham,Fulham,1,1,0.8,1.5,1.5,0.8
Chelsea,Aston Villa,3,0,1.6,1.2,1.2,1.6
Liverpool,Manchester City,2,0,3.4,0.8,0.8,3.4
Ipswich Town,Crystal Palace,0,1,0.5,1.6,1.6,0.5
Leicester City,West Ham,3,1,1.7,3.0,3.0,1.7
Newcastle Utd,Liverpool,3,3,2.1,1.9,1.9,2.1
Everton,Wolves,4,0,1.0,0.8,0.8,1.0
Manchester City,Nott'ham Forest,3,0,2.4,1.0,1.0,2.4
Southampton,Chelsea,1,5,1.6,5.2,5.2,1.6
Arsenal,Manchester Utd,2,0,2.1,0.2,0.2,2.1
Aston Villa,Brentford,3,1,2.4,0.9,0.9,2.4
Fulham,Brighton,3,1,1.1,1.4,1.4,1.1
Bournemouth,Tottenham,1,0,3.5,0.9,0.9,3.5
Aston Villa,Southampton,1,0,2.3,0.3,0.3,2.3
